TFname	JASPAR.ID	GC.Content	Zscore	FisherLogScore
IRF1-1	MA0050.1	0.383333333333333	9.429	3.218
IRF1-2	MA0050.2	0.498267074413863	5.965	2.979
IRF2	MA0051.1	0.412037037037037	-2.169	0.354
IRF3	MA0483.1	0.475177304964539	-2.825	0.372
Irf4	MA0484.1	0.434421105276319	-55.894	0.000
JUND	MA0487.1	0.45765725716826	25.627	13.696
JUN	MA0485.1	0.42824402488268	26.222	13.996
Klf4	MA0039.2	0.771240926374006	-12.211	0.034
Lhx3	MA0135.1	0.130769230769231	-13.850	0.002
MAFK	MA0489.1	0.433209740454955	12.819	4.444
MAX	MA0058.2	0.626905007448149	1.108	1.402
MEF2A	MA0052.2	0.267357142857143	-14.712	0.019
MIZF	MA0131.1	0.61	49.574	37.516
MXI1	MA0491.1	0.64419410745234	0.795	0.932
MYC::MAX	MA0059.1	0.601731601731602	1.088	0.842
MZF1_1-4	MA0056.1	0.725	-52.707	0.000
MZF1_5-13	MA0057.1	0.5875	-41.774	0.000
Mafb	MA0117.1	0.608333333333333	3.061	3.345
Maff	MA0488.1	0.4392	13.262	4.728
Mef2c	MA0490.1	0.29044661342798	-14.166	0.022
Myb	MA0100.1	0.590686274509804	18.309	8.115
Myc	MA0147.2	0.631191222570533	-11.828	0.006
Mycn	MA0104.2	0.698630136986301	1.543	1.423
Myf	MA0055.1	0.609375	-9.972	0.017
NF-kappaB	MA0061.1	0.621052631578947	-17.119	0.000
NFATC2	MA0152.1	0.346153846153846	-31.058	0.000
NFE2L2	MA0150.1	0.486363636363636	21.671	10.467
NFE2	MA0493.1	0.600451735615787	19.979	9.528
NFIC	MA0161.1	0.568504050925926	18.756	8.063
NFIL3	MA0025.1	0.264822134387352	39.171	26.499
NFKB1	MA0105.2	0.551242236024845	-28.360	0.000
NFYA	MA0060.2	0.47005076142132	5.436	2.410
NHLH1	MA0048.1	0.674382716049383	0.614	0.949
NKX3-1	MA0124.1	0.178571428571429	-2.697	0.224
NR1H2::RXRA	MA0115.1	0.444705882352941	88.327	22.906
NR2F1	MA0017.1	0.478021978021978	578.445	inf
NR3C1	MA0113.2	0.564818355640535	38.968	3.937
NR4A2	MA0160.1	0.490909090909091	100.969	201.196
Nfyb	MA0494.1	0.523237523237523	12.682	3.785
Nkx2-5	MA0063.1	0.218487394957983	-21.826	0.008
Nkx3-2	MA0122.1	0.462962962962963	-2.810	0.366
Nobox	MA0125.1	0.259868421052632	-20.057	0.000
Nr2e3	MA0164.1	0.372670807453416	10.426	4.928
Nrf1	MA0496.1	0.7329375	34.392	13.256
PBX1	MA0070.1	0.310185185185185	1.490	1.015
PLAG1	MA0163.1	0.797619047619048	-7.378	0.070
PPARG::RXRA	MA0065.2	0.546727525916757	202.530	362.389
PPARG	MA0066.1	0.523214285714286	-4.090	0.156
Pax4	MA0068.1	0.441269841269841	-3.966	0.133
Pax5	MA0014.1	0.575	7.324	1.935
Pax6	MA0069.1	0.431893687707641	1.680	0.890
Pbx3	MA0497.1	0.475766950244909	5.875	2.812
Pdx1	MA0132.1	0.193548387096774	-13.320	0.152
Pou2f2	MA0498.1	0.293509272467903	7.363	2.380
Pou5f1::Sox2	MA0142.2	0.351461628751886	0.780	0.759
Prdm1	00000	0.381619256017505	1.328	1.225
Prrx2	MA0075.1	0.0271186440677966	-4.765	0.589
RELA	MA0107.1	0.566666666666667	-1.041	0.493
REL	MA0101.1	0.558823529411765	-12.777	0.002
REST	MA0138.2	0.595540737653678	1.270	0.693
RORA_1	MA0071.1	0.424	83.089	114.052
RORA_2	MA0072.1	0.369047619047619	4.399	1.639
RREB1	MA0073.1	0.622727272727273	-16.922	0.003
RUNX1	MA0002.2	0.501590909090909	5.339	1.795
RXR::RAR_DR5	MA0159.1	0.534526854219949	7.853	2.152
RXRA::VDR	MA0074.1	0.526666666666667	22.124	7.030
Rfx5	00000	0.552465047829286	-2.888	0.282
Rxra	MA0502.1	0.534110129674873	345.807	inf
SOX9	MA0077.1	0.358187134502924	34.189	27.059
SP1	MA0079.3	0.77260173080464	-14.708	0.062
SPI1	MA0080.3	0.44174271783973	-20.574	0.000
SPIB	MA0081.1	0.466472303206997	-36.045	0.000
SRF	MA0083.2	0.424142661179698	6.975	1.999
SRY	MA0084.1	0.238095238095238	64.380	69.444
STAT1	MA0137.3	0.421106732910742	-4.565	0.173
Sox17	MA0078.1	0.383512544802867	32.931	19.118
Sox2	MA0143.2	0.361427714457109	29.932	13.167
Sox5	MA0087.1	0.198757763975155	12.333	8.525
Sp2	MA0507.1	0.483573274270949	8.057	2.494
Spz1	MA0111.1	0.537878787878788	-5.993	0.128
Stat2	MA0510.1	0.385459817729909	-15.151	0.003
Stat3	MA0144.2	0.428736428736429	-20.872	0.000
TAL1::TCF3	MA0091.1	0.452651515151515	4.718	1.729
TAL1	MA0511.1	0.370454545454545	3.745	1.933
TBP	MA0108.2	0.376692373607541	-13.413	0.004
TCF12	MA0512.1	0.624124824964993	-24.776	0.000
TEAD1	MA0090.1	0.506944444444444	36.110	21.667
TLX1::NFIC	MA0119.1	0.598214285714286	7.167	2.037
Tal1::Gata1	MA0140.1	0.450657460335427	43.306	22.417
Tcfcp2l1	MA0145.2	0.609352303949878	-3.234	0.178
Thap1	MA0515.1	0.629061701350858	0.904	0.187
USF1	MA0093.2	0.599633302775231	19.006	9.159
USF2	MA0516.1	0.602	21.854	11.665
YY1	MA0095.2	0.565551710880431	-19.389	0.000
ZEB1	MA0103.2	0.627291646021207	-40.411	0.000
ZNF143_b	MA0088.2	0.516111707841031	22.788	5.214
ZNF143	MA0088.1	0.53	-3.934	0.243
ZNF354C	MA0130.1	0.614583333333333	-34.811	0.003
Zbtb33	MA0517.1	0.597597317936301	13.717	2.878
Zbtb7a	MA0518.1	0.72342347128513	-25.085	0.014
Zfp423	MA0116.1	0.678787878787879	-12.614	0.026
Zfx	MA0146.2	0.749404761904762	18.745	9.636
Znf263	MA0519.1	0.675334121283753	-38.368	0.000
Znf274	MA0520.1	0.440820916502671	-9.355	0.011
